iter	Passed	Remaining
0	134	134617
1	135	67561
2	136	45206
3	136	34019
4	137	27319
5	137	22838
6	138	19636
7	138	17231
8	139	15365
9	139	13859
10	140	12639
11	141	11620
12	141	10762
13	142	10021
14	142	9382
15	143	8822
16	144	8327
17	144	7887
18	145	7492
19	145	7138
20	146	6817
21	146	6526
22	147	6259
23	148	6022
24	148	5799
25	149	5589
26	149	5394
27	150	5213
28	150	5046
29	151	4888
30	151	4740
31	152	4602
32	152	4473
33	153	4351
34	153	4233
35	154	4124
36	154	4020
37	154	3923
38	155	3829
39	155	3741
40	156	3658
41	156	3577
42	157	3502
43	157	3429
44	158	3360
45	158	3293
46	159	3230
47	159	3167
48	160	3108
49	160	3050
50	161	2996
51	161	2945
52	162	2896
53	162	2849
54	163	2803
55	163	2758
56	164	2715
57	164	2673
58	165	2633
59	165	2595
60	166	2557
61	166	2521
62	167	2486
63	167	2451
64	168	2418
65	168	2386
66	169	2355
67	169	2324
68	169	2292
69	170	2265
70	170	2235
71	171	2208
72	171	2182
73	172	2157
74	172	2132
75	173	2108
76	173	2085
77	174	2062
78	175	2040
79	175	2018
80	176	1997
81	176	1977
82	177	1957
83	177	1938
84	178	1918
85	178	1899
86	179	1880
87	179	1862
88	180	1845
89	180	1826
90	181	1809
91	181	1792
92	182	1776
93	182	1760
94	183	1744
95	183	1726
96	183	1711
97	184	1697
98	184	1682
99	185	1668
100	185	1654
101	186	1640
102	186	1627
103	187	1614
104	187	1601
105	188	1589
106	188	1576
107	189	1564
108	189	1552
109	190	1540
110	190	1529
111	191	1518
112	191	1504
113	192	1493
114	192	1482
115	193	1472
116	193	1461
117	194	1451
118	194	1440
119	195	1431
120	195	1420
121	196	1410
122	196	1401
123	197	1391
124	197	1382
125	198	1373
126	198	1364
127	199	1356
128	199	1347
129	200	1339
130	200	1330
131	201	1322
132	201	1314
133	202	1305
134	202	1298
135	203	1290
136	203	1282
137	204	1274
138	204	1267
139	205	1260
140	205	1253
141	206	1245
142	206	1238
143	207	1231
144	207	1224
145	208	1217
146	208	1210
147	209	1204
148	209	1197
149	210	1191
150	210	1184
151	211	1178
152	211	1171
153	212	1165
154	212	1159
155	213	1153
156	213	1147
157	214	1141
158	214	1135
159	215	1129
160	215	1123
161	216	1118
162	216	1112
163	217	1106
164	217	1101
165	218	1096
166	218	1090
167	219	1085
168	219	1080
169	220	1075
170	220	1069
171	221	1064
172	221	1059
173	222	1054
174	222	1049
175	223	1044
176	223	1039
177	224	1035
178	224	1030
179	225	1025
180	225	1020
181	226	1016
182	226	1011
183	227	1007
184	227	1002
185	228	998
186	228	994
187	229	989
188	229	985
189	230	981
190	230	977
191	231	972
192	231	968
193	232	964
194	232	960
195	233	956
196	233	952
197	234	949
198	234	945
199	235	941
200	235	937
201	236	933
202	236	929
203	237	926
204	237	922
205	238	918
206	238	915
207	239	911
208	239	907
209	240	904
210	240	900
211	241	897
212	241	893
213	242	890
214	242	886
215	243	883
216	243	880
217	244	876
218	244	873
219	245	870
220	245	866
221	246	863
222	246	860
223	247	857
224	248	854
225	248	851
226	249	848
227	249	844
228	250	841
229	250	838
230	251	835
231	251	832
232	251	829
233	252	826
234	252	823
235	253	820
236	253	817
237	254	814
238	254	811
239	255	808
240	255	805
241	256	802
242	256	800
243	257	797
244	257	794
245	258	791
246	258	789
247	259	786
248	259	783
249	260	780
250	260	778
251	261	775
252	261	773
253	262	770
254	262	768
255	263	765
256	263	762
257	264	760
258	264	757
259	265	755
260	265	752
261	266	750
262	266	747
263	267	745
264	267	742
265	268	740
266	268	737
267	269	735
268	269	732
269	270	730
270	270	728
271	271	725
272	271	723
273	272	720
274	272	718
275	273	716
276	273	714
277	274	711
278	274	709
279	275	707
280	275	705
281	276	703
282	276	700
283	277	698
284	277	696
285	278	694
286	278	692
287	279	690
288	279	687
289	280	685
290	280	683
291	281	681
292	281	679
293	282	677
294	282	675
295	283	673
296	283	671
297	284	669
298	284	667
299	285	665
300	285	663
301	286	661
302	286	659
303	286	657
304	287	655
305	287	653
306	288	651
307	288	649
308	289	647
309	290	645
310	290	643
311	291	641
312	291	639
313	292	638
314	292	636
315	293	634
316	293	632
317	294	630
318	294	628
319	295	626
320	295	625
321	296	623
322	296	621
323	297	619
324	297	617
325	298	616
326	298	614
327	299	613
328	299	611
329	300	609
330	300	607
331	301	606
332	301	604
333	302	602
334	302	600
335	303	599
336	303	597
337	304	596
338	304	594
339	305	592
340	305	591
341	306	589
342	307	588
343	307	586
344	308	584
345	308	583
346	309	581
347	309	579
348	310	578
349	310	576
350	311	575
351	311	573
352	311	571
353	312	570
354	312	568
355	313	566
356	313	565
357	314	563
358	314	562
359	315	560
360	315	559
361	316	557
362	316	556
363	317	554
364	318	553
365	318	552
366	319	550
367	319	549
368	320	548
369	321	546
370	321	545
371	322	543
372	322	542
373	323	540
374	323	539
375	324	537
376	324	536
377	325	535
378	325	533
379	326	532
380	326	530
381	327	529
